ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC03434615	216.28	C13H16N2O	CCc1cccc2c1[nH]cc2/C=N/OCC	AKT1	0.91	0.14
ZINC03506116	312.36	C18H20N2O3	CCOc1ccc(cc1OC)/C=N/NC(=O)Cc2ccccc2	PI3K	1.08	0.13
ZINC03563045	314.41	C16H18N4OS	C=CCn1c(nnc1SCC(=O)NC2CC2)c3ccccc3	HIS path	1.02	0.03
ZINC03593534	189.25	C12H15NO	c1c(cc2c3c1CCCN3CCC2)O	Proteasome inducers	0.92	0.24
ZINC03593769	216.34	C15H22N	C[NH+]1CCC[C@]2(C1)CCCc3c2cccc3	Proteasome inducers	0.95	0.12
ZINC03634637	281.17	C11H4F3N4O2	c1cc2c(cc1C(F)(F)F)nc3c(n2)nc(nc3[O-])[O-]	E3 ligase	0.94	0.11
ZINC03848524	287.32	C18H13N3O	c1ccc(cc1)n2c3cc(ccc3nc-4ccc(=O)cc24)N	E3 ligase	1.06	0.23
ZINC03850741	223.23	C14H9NO2	c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N	AKT1	1.11	0.01
ZINC03861620	238.24	C15H10O3	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)CO	AKT1	0.99	0.06
ZINC03874029	223.23	C14H9NO2	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N	AKT1	1.07	0.05
ZINC03875850	224.21	C14H8O3	c1ccc2c(c1)C(=O)c3cccc(c3C2=O)O	AKT1	0.85	0.20
ZINC03877943	203.28	C13H17NO	COc1ccc2c3c1CCCN3CCC2	Proteasome inducers	1.53	0.75
ZINC03882000	210.36	C14H26O	CC[C@H](CC[C@@]1(CCC(=C[C@@H]1C)C)C)O	TRP path	1.00	0.10
ZINC03886933	229.23	C12H11N3O2	c1ccc(cc1)Nc2ccc(cc2N)[N+](=O)[O-]	TRP path	1.41	0.24
ZINC03887436	247.23	C12H10FN3O2	c1cc(ccc1Nc2ccc(cc2N)[N+](=O)[O-])F	HIS path	1.09	0.05
ZINC03887547	219.09	C7H4Cl2N2S	c1c(cc(c2c1[nH]c(=S)[nH]2)Cl)Cl	AKT1	1.24	0.08
ZINC03888794	272.73	C14H13ClN4	Cc1c(n(c2c1c(ncn2)N)c3ccc(cc3)Cl)C	PI3K	1.08	0.18
ZINC03888966	221.34	C11H11NS2	c1ccc(c(c1)N)SCc2ccsc2	Autophagy	0.77	0.17
ZINC03896048	226.20	C14H7FO2	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)F	AKT1	0.97	0.13
ZINC03896782	224.21	C14H8O3	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)O	AKT1	0.97	0.08
ZINC04020029	275.73	C15H14ClNO2	Cc1c(cccc1Cl)NC(=O)[C@H](c2ccccc2)O	TRP path	0.90	0.04
ZINC04026621	343.47	C21H29NO3	CCCC[N+]1(CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O)C	Proteasome inducers	0.83	0.05
ZINC04060816	255.32	C15H17N3O	COc1cnc(nc1N2CCCC2)c3ccccc3	Calcineurin1	1.27	0.18
ZINC04060817	269.34	C16H19N3O	COc1cnc(nc1N2CCCCC2)c3ccccc3	Calcineurin1	1.04	0.06
ZINC04069859	278.28	C12H10N2O4S	COc1ccc(cc1)NC(=O)c2ccc(s2)[N+](=O)[O-]	HIS path	0.92	0.05
ZINC04071096	328.39	C17H16N2O3S	Cc1ccc(cc1)N([C@@H]2CS(=O)(=O)C=C2)C(=O)c3ccncc3	PI3K	0.97	0.09
ZINC04073909	340.46	C22H28O3	C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C	ATPase	1.10	0.21
ZINC04081983	336.34	C19H16N2O4	c1ccc2c(c1)C[C@H]3C(=O)N(C(=O)N3C2)c4ccc5c(c4)OCCO5	ATPase	0.96	0.10
ZINC04088117	236.22	C15H8O3	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)C=O	AKT1	1.00	0.19
ZINC04099252	306.23	C13H13F3O5	COc1ccc(cc1)C(=O)C[C@@](C(=O)OC)(C(F)(F)F)O	TRP path	0.96	0.09
ZINC04134394	291.16	C14H13BrNO	C[n+]1ccccc1/C=C/c2cc(ccc2O)Br	Autophagy	1.06	0.15
ZINC04166548	248.38	C16H26NO	C[C@H]1C[C@H]2CC(=O)[C@H]3CCC[NH+]4[C@]3(C1)[C@@H]2CCC4	Proteasome inducers	1.03	0.08
ZINC04176923	333.39	C14H11N3O3S2	c1ccc(c(c1)NC(=O)c2ccc(s2)[N+](=O)[O-])SCCC#N	HIS path	0.91	0.11
ZINC04180784	296.32	C16H16N4O2	COc1cccc(c1)[C@H]2C3=C(CCCC3=O)Nc4n2ncn4	Proteasome inducers	0.89	0.05
ZINC04196124	306.36	C15H16NO4S	CC(C)(C#Cc1ccc(s1)C(=O)N2CCC[C@H]2C(=O)[O-])O	CYS path	0.82	0.17
ZINC04196396	309.22	C11H12F3N2O5	CCOC(=O)N[C@@]1(/C(=C(/[O-])\OC)/C(=NC1=O)C)C(F)(F)F	Proteasome I-lact-mg 132	0.96	0.12
ZINC04218572	268.31	C16H15FN3	c1ccc(cc1)n2cc(c(n2)c3ccc(cc3)F)C[NH3+]	ABC transporters	1.58	0.12
ZINC04218988	272.69	C11H13ClN2O4	COc1ccc(cc1OC)C(=O)NNC(=O)CCl	PI3K	1.07	0.07
ZINC04237889	243.23	C14H10FNO2	COC(=O)c1cc2c3ccccc3c(cc2[nH]1)F	AKT1	1.09	0.11
ZINC04263292	256.08	C9H8BrN2O2	C/C=N/NC(=O)c1cc(ccc1O)Br	Autophagy	0.95	0.11
ZINC04281560	289.20	C11H6FN6O3	c1cc(ccc1c2c(nnn2c3c(non3)N)C(=O)[O-])F	PI3K	0.98	0.11
ZINC04298600	175.20	C11H11O2	CC1(CC1)c2ccc(cc2)C(=O)[O-]	CYS path	0.94	0.07
ZINC04301575	255.10	C11H8Cl2N2O	[H]/N=C(\c1c(cccc1Cl)Cl)/[C@H](C#N)C(=O)C	Proteasome I-lact-mg 132	1.00	0.16
ZINC04312213	258.28	C13H14N4O2	c1cc(oc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.19	0.34
ZINC04331436	287.35	C17H21NO3	Cc1ccc(cc1)NC[C@H](COc2ccc(cc2)OC)O	TRP path	1.04	0.09
ZINC04360390	237.25	C15H11NO2	Cc1ccc2c(c1)C(=O)c3cc(ccc3C2=O)N	AKT1	1.12	0.15
ZINC04366006	315.39	C20H19N4	CN(C)c1ccc2c(c1)[n+](c3cc(ccc3n2)N)c4ccccc4	E3 ligase	0.89	0.15
ZINC04366134	329.42	C21H21N4	Cc1ccccc1[n+]2c3cc(c(cc3nc4c2cc(c(c4)C)N)C)N	E3 ligase	0.36	0.04
ZINC04366461	224.21	C10H12N2O4	CCOC(=O)CNc1ccccc1[N+](=O)[O-]	TRP path	0.92	0.09
ZINC04374916	300.40	C16H24N6	Cn1c2c(cn1)c(nc(n2)N3CCCC3)NC4CCCCC4	Calcineurin1	1.03	0.13
ZINC04375012	286.38	C15H22N6	Cn1c2c(cn1)c(nc(n2)N3CCCC3)N4CCCCC4	Calcineurin1	1.05	0.09
ZINC04419464	239.31	C16H17NO	C[C@@H]([C@H](c1ccccc1)O)/N=C/c2ccccc2	Proteasome I-lact-mg 132	0.94	0.15
ZINC04427624	272.28	C14H13FN4O	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3)F	MeC	0.75	0.10
ZINC04451200	301.24	C11H6F3N3O2S	Cc1cc(c2c3c(c(=O)[nH]c(n3)[O-])sc2n1)C(F)(F)F	E3 ligase	0.91	0.07
ZINC04453439	288.37	C15H22N5O	Cc1c2c(n[nH]1)OC(=C([C@@]23C[C@@H]([NH+](C[C@@H]3C)C)C)C#N)N	Proteasome inducers	0.91	0.06
ZINC04476977	337.33	C18H15N3O4	[H]/N=C/1\C(=O)N(C(=O)N1c2ccc(cc2)C(=O)OCC)c3ccccc3	PI3K	1.01	0.05
ZINC04488253	331.34	C17H17F2N4O	Cc1nc2n(n1)[C@@H](C3=C(N2)C[C@H](CC3=O)C)c4cc(cc(c4)F)F	E3 ligase	0.78	0.07
ZINC04502525	200.26	C13H14NO	C[NH+]1Cc2c3ccccc3ccc2OC1	Proteasome inducers	1.30	0.26
ZINC04507616	345.37	C17H15NO5S	COc1cc(cc(c1OC)OC)C2=N/C(=C\c3cccs3)/C(=O)O2	PI3K	0.80	0.04
ZINC04522397	271.31	C19H13NO	c1ccc(cc1)n2c3ccccc3c(=O)c4c2cccc4	E3 ligase	0.96	0.12
ZINC04536395	238.46	C7H2Cl3NO2	c1c(c2c(c(c1Cl)Cl)[nH]c(=O)o2)Cl	AKT1	0.33	0.06
ZINC04555680	342.35	C17H18N4O4	CCCc1cc(c(cc1O)O)c2c(c[nH]n2)c3ccc(o3)C(=O)NN	ATPase	2.03	0.76
ZINC04571980	309.36	C19H19NO3	Cc1ccc(cc1)N2C[C@@H](CC2=O)C(=O)Oc3ccc(cc3)C	GLN path	0.82	0.10
ZINC04579056	294.35	C12H10N2O3S2	CCN1C(=O)/C(=C\c2ccc(cc2)[N+](=O)[O-])/SC1=S	HIS path	0.85	0.18
ZINC04579126	322.40	C14H14N2O3S2	CCCCN1C(=O)/C(=C\c2ccc(cc2)[N+](=O)[O-])/SC1=S	HIS path	0.80	0.04
ZINC04588166	340.33	C18H16N2O5	COc1cc(cc(c1OC)OC)C2=N/C(=C\c3cccnc3)/C(=O)O2	PI3K	0.96	0.13
ZINC04595763	281.37	C13H19N3O2S	CCOC(=O)c1cnc(nc1N2CCCCC2)SC	Calcineurin1	1.00	0.09
ZINC04610678	336.88	C22H23ClN	CC[N+]1(Cc2c(c(c3ccccc3c2c4ccccc4)Cl)C1)CC	E3 ligase	1.18	0.02
ZINC04610887	276.29	C12H10N3O3S	c1ccc(cc1)/C=N/N=C/2\NC(=O)[C@H](S2)CC(=O)[O-]	CYS path	0.93	0.04
ZINC04620608	232.23	C10H16O6	CCOC(=O)O[C@H]1CCC[C@H](C1)OC(=O)O	CYS path	0.82	0.05
ZINC04622505	298.34	C19H14N4	c1ccc(cc1)c2[nH]c(c(n2)c3ccccn3)c4ccccn4	ABC transporters	1.21	0.01
ZINC04626240	252.36	C11H12N2OS2	C[C@H]1CCc2c(sc3c2c(=O)[nH]c(=S)[nH]3)C1	E3 ligase	1.05	0.02
ZINC04626243	266.38	C12H14N2OS2	C1CCCc2c(c3c(=O)[nH]c(=S)[nH]c3s2)CC1	E3 ligase	0.93	0.06
ZINC04626506	297.37	C17H15NO2S	COc1ccccc1SCc2cc(=O)[nH]c3c2cccc3	CD36	1.00	0.03
ZINC04631579	274.34	C14H20N5O	Cc1c2c(n[nH]1)OC(=C([C@]23CC[NH+](C[C@H]3C)C)C#N)N	Proteasome inducers	0.91	0.00
ZINC04638824	244.29	C14H16N2O2	c1cc2c(cc1C(=O)[O-])ncn2C3CCCCC3	HIS path	0.88	0.09
ZINC04641406	296.32	C17H16N2O3	Cc1c(c(n[nH]1)c2ccc(cc2O)O)c3ccc(cc3)OC	ATPase	1.44	0.07
ZINC04646399	288.37	C15H16N2O2S	CCOc1ccc(cc1)/C=C\C(=O)Nc2nc(cs2)C	PI3K	1.07	0.14
ZINC04648755	220.26	C13H16O3	c1ccc(cc1)C(=O)O[C@@H]2CCCC[C@H]2O	FASII-PDIM metabolism	1.07	0.04
ZINC04648800	207.99	C7H2Cl2FO2	c1c(cc(c(c1C(=O)[O-])F)Cl)Cl	CYS path	0.95	0.10
ZINC04688380	299.37	C20H17N3	Cc1cc(c(n1c2ccncc2)C)/C=C(\C#N)/c3ccccc3	GLN path	1.00	0.05
ZINC04692925	339.34	C19H17NO5	COc1cc(cc(c1OC)OC)C2=N/C(=C\c3ccccc3)/C(=O)O2	PI3K	0.77	0.02
ZINC04705780	305.38	C15H23N5O2	Cc1c(c(nc(n1)N2CCCCC2)N3CCCCC3)[N+](=O)[O-]	Calcineurin1	1.00	0.02
ZINC04707313	258.28	C12H14N6O	Cc1ccc(c(c1)C)Nc2c(c(nc(n2)N)N)N=O	Cations channels	0.96	0.08
ZINC04741108	334.37	C16H16NO5S	CS(=O)(=O)N(CC(=O)[O-])c1ccc(cc1)OCc2ccccc2	CYS path	0.87	0.15
ZINC04742603	334.74	C13H7ClN4O3S	c1cc2c(c(c1)NC(=O)c3ccc(cc3Cl)[N+](=O)[O-])nsn2	HIS path	0.80	0.09
ZINC04744175	298.38	C18H22N2O2	CC(=O)N1CC[C@]23c4cccc(c4N=C2CCC[C@H]3C1)OC	Proteasome inducers	0.80	0.08
ZINC04748363	154.25	C10H18O	C[C@H](CC[C@@H]1CCC=CC1)O	TRP path	0.72	0.09
ZINC04748410	251.24	C15H9NO3	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)NC=O	AKT1	0.93	0.14
ZINC04748489	256.30	C15H16N2O2	c1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)C3=CCCCC3	Cations channels	0.86	0.05
ZINC04754391	282.09	C11H8BrNO3	COC(=O)c1cc(=O)[nH]c2c1cc(cc2)Br	CD36	0.81	0.09
ZINC04763958	243.37	C16H23N2	C[C@H]1C[C@]([C@@H](C[NH+]1C)C)(CC#N)c2ccccc2	Proteasome inducers	0.97	0.07
ZINC04779402	294.32	C15H19FN2O3	C[C@]1(C2(CCCCC2)OC(=O)N1Nc3ccc(cc3)F)O	TRP path	0.82	0.03
ZINC04792462	276.35	C19H18NO	CC[n+]1c(ccc2c1cccc2)/C=C/c3ccccc3O	Autophagy	1.00	0.03
ZINC04795898	328.34	C16H12N2O4S	c1ccc(cc1)N2C(=O)C[C@@H](C2=O)Sc3ccc(cc3)[N+](=O)[O-]	HIS path	0.83	0.06
ZINC04824633	238.24	C14H10N2O2	c1ccc2c(c1)C(=O)c3cc(c(cc3C2=O)N)N	AKT1	0.95	0.13
ZINC04829851	210.31	C13H22O2	C[C@H]1CCCC([C@]1(C#C[C@@H](C)O)O)(C)C	ATPase	0.98	0.02
ZINC04831504	252.26	C13H16O5	c1ccc(cc1)[C@@H]2OC[C@@H]3[C@@H](O2)[C@@H]([C@@H](CO3)O)O	ATPase	0.96	0.10
ZINC04833129	288.26	C14H12N2O5	COc1cccc(c1)C(=O)Nc2ccc(cc2O)[N+](=O)[O-]	HIS path	0.97	0.08
ZINC04859528	297.27	C15H11N3O4	c1ccc2c(c1)c(c(c(=O)o2)[N+](=O)[O-])Nc3ccccc3N	TRP path	1.26	0.13
ZINC04863124	260.35	C11H20N2O3S	CCOC(=O)CN1C(=S)NC(C[C@@]1(C)O)(C)C	Proteasome I-lact-mg 132	0.90	0.09
ZINC04866196	340.32	C15H11F3N2O2S	c1ccc(cc1)C2=NN([C@](C2)(C(F)(F)F)O)C(=O)c3cccs3	Proteasome I-lact-mg 132	0.76	0.04
ZINC04867578	286.35	C15H14N2O2S	CC1=NN([C@](C1)(c2ccccc2)O)C(=O)c3cccs3	TRP path	0.99	0.15
ZINC04891102	267.28	C16H13NO3	c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)NCCO	AKT1	0.96	0.05
ZINC04896295	218.25	C10H18O5	CC[C@@H](C)OC(=O)[C@H](C)OC(=O)[C@@H](C)O	Proteasome I-lact-mg 132	0.96	0.01
ZINC04913274	302.73	C16H13ClNO3	c1cc(ccc1CC(=O)[O-])NC(=O)Cc2ccc(cc2)Cl	CYS path	0.88	0.15
ZINC04918167	206.28	C13H18O2	COc1ccccc1C2(CCCCC2)O	Proteasome I-lact-mg 132	0.60	0.17
ZINC04927497	292.68	C12H9ClN4O3	c1cc(c(nc1)Cl)NC(=O)Nc2ccc(cc2)[N+](=O)[O-]	HIS path	1.21	0.16
ZINC04940217	338.79	C19H15ClN2O2	c1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccccc3Cl	Lip	0.98	0.08
ZINC04940272	340.32	C19H14F2N2O2	c1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3cc(ccc3F)F	Lip	0.98	0.07
ZINC04940362	318.37	C20H18N2O2	Cc1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccccc3	Lip	1.14	0.13
ZINC04940369	336.36	C20H17FN2O2	Cc1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccccc3F	Lip	1.11	0.10
ZINC04941201	320.34	C16H20N2O5	c1cc(ccc1C(=O)NC[C@@H]2COC3(O2)CCCCC3)[N+](=O)[O-]	HIS path	0.96	0.15
ZINC04946864	280.28	C15H12N4O2	c1ccc(cc1)N(c2ccccc2)c3[nH]c(=O)[nH]c(=O)[nH+]3	E3 ligase	1.13	0.08
ZINC04949688	344.24	C15H11F3O6	CCOC(=O)C1=C(O[C@]2([C@@]1(C(=O)c3c2cccc3)O)O)C(F)(F)F	ATPase	0.98	0.15
ZINC04962723	280.32	C18H16O3	Cc1ccc2c(c1)[C@@H]([C@H]3COC(=O)[C@@H]3O2)c4ccccc4	E3 ligase	0.89	0.10
ZINC04983843	237.34	C14H23NO2	C1CCC2(CC1)[C@@H](C3(CCCCC3)NC2=O)O	Proteasome I-lact-mg 132	0.96	0.10
ZINC04985087	252.70	C12H13ClN2O2	CC1=NN([C@](C1)(C)O)C(=O)c2ccc(cc2)Cl	TRP path	1.22	0.25
ZINC04987648	266.32	C10H8N3O2S2	CCCSc1c(c2c(s1)c([nH]c(=O)n2)[O-])C#N	E3 ligase	1.26	0.17
ZINC04988240	263.31	C14H19N2O3	c1ccc(c(c1)/C=C/C[NH+]2CCC(CC2)O)[N+](=O)[O-]	Autophagy	0.88	0.05
ZINC04991189	264.32	C11H8N2O2S2	c1cc(sc1)[C@@]2(C(=O)NC(=O)N2)c3ccsc3	Cations channels	0.91	0.03
ZINC04991217	258.30	C13H10N2O2S	c1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)c3ccsc3	Cations channels	0.92	0.03
ZINC04992651	195.26	C11H17NO2	CCOC[C@@H](CNc1ccccc1)O	TRP path	0.91	0.03
ZINC05001017	233.33	C12H15N3S	Cc1cc2c(ncnc2s1)NC3CCCC3	Autophagy	1.05	0.12
ZINC05013158	340.33	C17H16N4O4	Cc1ccc(cc1)N2C(=O)C[C@H](C2=O)NNc3ccc(cc3)[N+](=O)[O-]	HIS path	0.99	0.10
ZINC05029928	153.20	C9H13O2	C1CCC/C(=C\CC1)/C(=O)[O-]	CYS path	0.82	0.07
ZINC05049463	337.44	C21H25N2O2	c1ccc2c(c1)[C@]34CC[NH+]5[C@@H]3C[C@@H]6[C@@H](C5)CCO[C@@H]7[C@@H]6[C@@H]4N2C(=O)C7	Proteasome inducers	0.90	0.05
ZINC05049597	272.26	C14H12N2O4	c1ccc(cc1)CC(=O)Nc2ccc(cc2O)[N+](=O)[O-]	HIS path	1.11	0.10
ZINC05120095	259.63	C7H5ClF3NO2S	c1cc(c(cc1Cl)C(F)(F)F)S(=O)(=O)N	Cations channels	0.81	0.05
ZINC05152004	297.46	C15H27N3OS	Cc1c(n(c(n1)SCC(=O)NC(C)(C)C)CC(C)C)C	HIS path	0.90	0.11
ZINC05209705	269.22	C10H14F3NO4	COC(=O)[C@@H]1[C@@]([C@@H]2CCCCN2O1)(C(F)(F)F)O	Proteasome I-lact-mg 132	0.97	0.10
ZINC05218034	252.31	C17H16O2	c1ccc(cc1)C(c2ccccc2)[C@H]3CC(=O)OC3	Lip	1.00	0.07
ZINC05219192	272.34	C16H20N2O2	CCN(Cc1cc(=O)[nH]c2c1cccc2)C(=O)C(C)C	CD36	0.89	0.04
ZINC05223924	330.40	C19H24NO4	C[NH+]1CC[C@]23CC(=O)C(=C[C@H]2[C@H]1Cc4c3c(c(cc4)OC)O)OC	Proteasome inducers	0.95	0.05
ZINC05224786	239.23	C14H9NO3	c1ccc2c(c1)C(=O)c3cc(c(cc3C2=O)O)N	AKT1	1.11	0.14
ZINC05266909	256.32	C14H12N2OS	CCn1c(=O)c2cc3ccccc3cc2[nH]c1=S	E3 ligase	0.92	0.13
ZINC05268744	340.32	C19H14F2N2O2	c1cc(cc(c1)F)Cn2cccc(c2=O)C(=O)Nc3ccc(cc3)F	Lip	0.98	0.10
ZINC05270155	336.36	C20H17FN2O2	Cc1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccc(cc3)F	Lip	0.98	0.06
ZINC05273977	328.36	C18H20N2O4	c1ccc(cc1)C[C@@H](C(=O)[O-])NC(=O)[C@@H](Cc2ccc(cc2)O)[NH3+]	Proteasome I-lact-mg 132	0.92	0.06
ZINC05277622	289.35	C16H21N2O3	C[C@@H](C(=O)[O-])NC(=O)N1CCC(CC1)Cc2ccccc2	CYS path	0.74	0.24
ZINC05286502	216.28	C13H16N2O	c1ccc2c(c1)[nH]c(n2)C3(CCCCC3)O	TRP path	0.93	0.02
ZINC05295363	288.73	C14H13ClN4O	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3)Cl	MeC	0.98	0.06
ZINC05295368	288.73	C14H13ClN4O	c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCC3)Cl	MeC	0.97	0.06
ZINC05297481	333.18	C14H13BrN4O	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3)Br	MeC	0.90	0.06
ZINC05310967	193.29	C12H19NO	CCC[C@@](C)(CNc1ccccc1)O	TRP path	1.00	0.03
ZINC05331442	213.06	C9H6Cl2N2	c1cc2c(cc(c(c2nc1)Cl)Cl)N	Proteasome I-lact-mg 132	1.13	0.15
ZINC05331770	273.31	C15H17N2O3	c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3C(=O)[O-]	CYS path	0.77	0.05
ZINC05332174	217.31	C14H19NO	c1ccc2c(c1)C[C@H](N2)C3(CCCCC3)O	Proteasome I-lact-mg 132	1.00	0.06
ZINC05353862	328.37	C17H20N4O3	CCOc1cccc(c1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.09	0.20
ZINC05368627	320.81	C6H4Cl6O2	C(#C[C@@H](C(Cl)(Cl)Cl)O)[C@H](C(Cl)(Cl)Cl)O	ATPase	1.39	0.05
ZINC05369382	187.21	C12H11O2	C/C(=C\c1ccccc1)/C=C/C(=O)[O-]	CYS path	1.22	0.13
ZINC05370009	316.37	C21H18NO2	C[C@@H]1C[n+]2c(cc(cc2C(=O)O1)c3ccccc3)c4ccccc4	E3 ligase	0.95	0.05
ZINC05377989	282.38	C12H14N2O2S2	C[n+]1cccc(c1SSc2c(ccc[n+]2C)O)O	ATPase	0.91	0.05
ZINC05378575	216.28	C13H16N2O	Cc1cc(=O)n([nH]1)CCCc2ccccc2	Autophagy	0.91	0.06
ZINC05380703	163.24	C10H15N2	C/C(=C(\C#N)/C1=CCCCC1)/[NH3+]	Proteasome I-lact-mg 132	0.91	0.04
ZINC05381035	297.35	C16H12FN3S	c1cc(ccc1c2ccc(nn2)SCc3ccncc3)F	GLN path	0.99	0.13
ZINC05385585	218.29	C13H18N2O	CCCC[C@@](C)(c1[nH]c2ccccc2n1)O	TRP path	0.96	0.06
ZINC05386873	275.72	C12H12ClN6	CCc1c(c(nc(n1)N)N)c2ccc(c(c2)[N+]#N)Cl	Cations channels	2.42	0.33
ZINC05387150	176.26	C11H16N2	[H]/N=C(/C)\[C@H](C#N)C1=CCCC[C@@H]1C	Proteasome I-lact-mg 132	0.97	0.13
ZINC05389739	288.28	C12H8N4O3S	c1cc(c2[n+](c1)c(cs2)[O-])Nc3ccc(cn3)[N+](=O)[O-]	HIS path	1.01	0.05
ZINC05394129	194.23	C13H10N2	Cc1c(c(ccn1)c2ccccc2)C#N	AKT1	0.83	0.10
ZINC05403161	282.34	C16H18N4O	CCc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.92	0.06
ZINC05403212	328.37	C17H20N4O3	COc1ccc(c(c1)OC)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.89	0.03
ZINC05415246	348.46	C23H26NO2	CC1(Cc2c(cc3c([n+]2c4ccccc4)CC(CC3=O)(C)C)C(=O)C1)C	E3 ligase	1.03	0.14
ZINC05416357	294.35	C15H22N2O4	C/C(=N\N1CCOCC1)/c2cc(c(c(c2)OC)OC)OC	GLN path	1.01	0.06
ZINC05464628	226.36	C14H26O2	C[C@]1(C[C@H]2CCCC[C@@H]2C[C@@]1(C)O)COC	Proteasome I-lact-mg 132	0.99	0.10
ZINC05478569	250.71	C10H7ClN4S	c1nc2c3c4c(sc3nc(n2n1)Cl)CCC4	Calcineurin1	0.66	0.19
ZINC05479619	288.35	C14H20N6O	c1[nH]c2c(n1)nc(nc2N3CCOCC3)N4CCCCC4	Calcineurin1	1.00	0.12
ZINC05479620	288.35	C14H20N6O	c1[nH]c2c(n1)nc(nc2N3CCCCC3)N4CCOCC4	Calcineurin1	1.00	0.16
ZINC05487917	236.27	C16H12O2	c1ccc(cc1)[C@@H]2C(=CC(=O)O2)c3ccccc3	Lip	1.10	0.21
ZINC05510798	211.48	C6H5Cl3N2	c1c(c(c(c(c1Cl)N)Cl)N)Cl	Proteasome I-lact-mg 132	1.08	0.02
ZINC05514187	253.25	C12H15NO5	COc1ccc(cc1OC)C(=O)NCC(=O)OC	PI3K	0.99	0.04
ZINC05515149	342.70	C14H10ClF3N4O	c1ccc(cc1)/C(=N\NC(=O)N)/c2c(cc(cn2)C(F)(F)F)Cl	E3 ligase	1.00	0.13
ZINC05566693	297.08	C8H10Cl2F4N2O	C1CCC(=NNC(C(F)(F)Cl)(C(F)(F)Cl)O)C1	TRP path	0.94	0.01
ZINC05567999	294.71	C14H13ClNO4	c1cc(c(cc1Cl)NC(=O)[C@H]2CC=CC[C@H]2C(=O)[O-])O	TRP path	0.90	0.11
ZINC05569042	287.23	C13H9N3O5	c1cc(cc(c1)[N+](=O)[O-])/C=N/c2ccc(cc2O)[N+](=O)[O-]	HIS path	0.96	0.06
ZINC05572865	260.24	C14H12O5	C[C@@H]1[C@H]([C@@H](C2=C(O1)C(=O)c3ccccc3C2=O)O)O	AKT1	0.88	0.22
ZINC05586339	325.41	C18H23N5O	CN(C)c1ccc(cc1)C(=NNC(=O)N)c2ccc(cc2)N(C)C	E3 ligase	1.15	0.06
ZINC05603592	269.34	C17H19NO2	c1ccc(cc1)C[C@@H](CO)NC(=O)Cc2ccccc2	Proteasome I-lact-mg 132	0.98	0.08
ZINC05603732	258.31	C16H18O3	c1ccc(cc1)Cc2ccccc2OC[C@@H](CO)O	ATPase	1.14	0.06
ZINC05603746	348.73	C14H15ClF2N2O4	CN1C(=O)N[C@@H]([C@@H]([C@@]1(C(F)(F)Cl)O)C(=O)OC)c2ccccc2	Proteasome I-lact-mg 132	0.89	0.12
ZINC05604078	212.24	C11H16O4	c1ccc(cc1)OCCOC[C@@H](CO)O	ATPase	0.94	0.05
ZINC05615643	278.26	C13H14N2O5	CCOC(=O)c1c(=O)[nH]c2cc(c(cc2n1)OC)OC	PI3K	0.73	0.08
ZINC05621489	226.26	C10H19F3NO	C1CCCC(CC1)[NH2+]C[C@H](C(F)(F)F)O	TRP path	0.95	0.05
ZINC05625821	207.27	C11H17N3O	Cc1cc(=O)[nH]c(n1)N2CCCCCC2	Calcineurin1	0.85	0.07
ZINC05697972	283.33	C16H17N3O2	Cc1cc2ncc(c(n2n1)C)c3ccc(c(c3)OC)OC	Calcineurin1	1.00	0.03
ZINC05699716	198.26	C14H14O	c1ccc2c(c1)ccc3c2CCC[C@@H]3O	Proteasome inducers	1.20	0.17
